vtkOriginalIndices,Heat[W/m^3],Points:0,Points:1,Points:2,__vtkIsSelected__
129,2.86E+06,0.111,0.0895686,0.0981511,0
130,2.76E+06,0.111,0.0890483,0.0983894,0
131,2.46E+06,0.111,0.0894218,0.0980345,0
132,900448,0.111,0.0985397,0.0965845,0
133,1.30E+06,0.111,0.0987862,0.0971496,0
134,997148,0.111,0.0991305,0.0967379,0
135,3.71E+07,0.111,0.0899825,0.0989524,0
136,3.48E+07,0.111,0.0898312,0.0990882,0
137,4.14E+07,0.111,0.0900128,0.0990368,0
138,3.09E+07,0.111,0.0897974,0.0990203,0
139,1.26E+07,0.111,0.101,0.0992,0
140,2.77E+06,0.111,0.0968632,0.102004,0
141,3.20E+06,0.111,0.0967438,0.101893,0
142,2.64E+06,0.111,0.0968042,0.102042,0
143,257874,0.111,0.0986965,0.093843,0
144,269410,0.111,0.0981751,0.0939825,0
145,350200,0.111,0.0986116,0.0946677,0
146,500460,0.111,0.102707,0.0954067,0
147,536725,0.111,0.102125,0.0955667,0
148,580450,0.111,0.102194,0.0957629,0
149,2.23E+06,0.111,0.0918934,0.097585,0
150,3.43E+06,0.111,0.0921404,0.097987,0
151,5.32E+06,0.111,0.0917835,0.098374,0
152,195685,0.111,0.103836,0.106612,0
153,3.78E+07,0.111,0.10975,0.0992,0
154,1.23E+07,0.111,0.10375,0.1008,0
155,1.24E+07,0.111,0.1035,0.1008,0
156,1.10E+07,0.111,0.103718,0.101004,0
157,144380,0.111,0.104751,0.092314,0
158,122375,0.111,0.104082,0.0917153,0
159,663728,0.111,0.0996014,0.096018,0
160,689861,0.111,0.0997146,0.0960969,0
161,7.21E+06,0.111,0.106411,0.101268,0
162,5.11E+06,0.111,0.106548,0.101518,0
163,7.18E+06,0.111,0.106683,0.101308,0
164,3.94E+06,0.111,0.0968243,0.0982996,0
165,3.68E+06,0.111,0.0968563,0.0982586,0
166,245395,0.111,0.0944906,0.0938643,0
167,844254,0.111,0.0875259,0.100245,0
168,980551,0.111,0.0876576,0.0997997,0
169,634703,0.111,0.087183,0.0997721,0
170,4.99E+06,0.111,0.092934,0.101639,0
171,5.71E+06,0.111,0.0930021,0.101538,0
172,5.22E+06,0.111,0.0928883,0.101604,0
173,9.92E+06,0.111,0.103681,0.101039,0
174,1.13E+06,0.111,0.0899846,0.100041,0
175,1.05E+06,0.111,0.09,0.100049,0
176,1.06E+06,0.111,0.09,0.100035,0
